time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1570173812.856499,6,148,172.19.98.240,172.130.201.25,36946,22
1570173812.933099,6,84,172.130.201.25,172.19.98.240,22,36946
1570173812.933366,6,116,172.19.98.240,172.130.201.25,36946,22
1570173812.973182,6,116,172.130.201.25,172.19.98.240,22,36946
1570173812.975577,6,1374,172.19.98.240,172.130.201.25,36946,22
1570173812.975585,6,70,172.19.98.240,172.130.201.25,36946,22
1570173813.013942,6,1156,172.130.201.25,172.19.98.240,22,36946
1570173813.015646,6,132,172.19.98.240,172.130.201.25,36946,22
1570173813.100205,6,532,172.130.201.25,172.19.98.240,22,36946
1570173813.106772,6,100,172.19.98.240,172.130.201.25,36946,22
1570173813.108131,6,132,172.19.98.240,172.130.201.25,36946,22
1570173813.183739,6,132,172.130.201.25,172.19.98.240,22,36946
1570173813.18487,6,148,172.19.98.240,172.130.201.25,36946,22
1570173813.271672,6,132,172.130.201.25,172.19.98.240,22,36946
1570173815.761909,6,740,172.19.98.240,172.130.201.25,36946,22
1570173815.847733,6,116,172.130.201.25,172.19.98.240,22,36946
1570173815.849024,6,196,172.19.98.240,172.130.201.25,36946,22
1570173816.617964,6,724,172.130.201.25,172.19.98.240,22,36946
1570173816.701819,6,132,172.130.201.25,172.19.98.240,22,36946
1570173816.702319,6,548,172.19.98.240,172.130.201.25,36946,22
1570173816.793332,6,580,172.130.201.25,172.19.98.240,22,36946
1570173816.893023,6,212,172.130.201.25,172.19.98.240,22,36946
1570173824.256738,6,116,172.19.98.240,172.130.201.25,36946,22
1570173824.333287,6,116,172.130.201.25,172.19.98.240,22,36946
1570173824.382853,6,116,172.19.98.240,172.130.201.25,36946,22
1570173824.459558,6,116,172.130.201.25,172.19.98.240,22,36946
1570173824.479932,6,116,172.19.98.240,172.130.201.25,36946,22
1570173824.557305,6,116,172.130.201.25,172.19.98.240,22,36946
1570173824.640298,6,628,172.130.201.25,172.19.98.240,22,36946
1570173826.989908,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.059092,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.066082,6,116,172.130.201.25,172.19.98.240,22,36946
1570173827.131571,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.135182,6,116,172.130.201.25,172.19.98.240,22,36946
1570173827.200117,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.211947,6,116,172.130.201.25,172.19.98.240,22,36946
1570173827.237365,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.27657,6,116,172.130.201.25,172.19.98.240,22,36946
1570173827.358254,6,116,172.130.201.25,172.19.98.240,22,36946
1570173827.37712,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.458191,6,116,172.130.201.25,172.19.98.240,22,36946
1570173827.514452,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.5919,6,116,172.130.201.25,172.19.98.240,22,36946
1570173827.631943,6,228,172.130.201.25,172.19.98.240,22,36946
1570173827.656875,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.733135,6,116,172.130.201.25,172.19.98.240,22,36946
1570173827.807521,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.880269,6,116,172.19.98.240,172.130.201.25,36946,22
1570173827.884511,6,116,172.130.201.25,172.19.98.240,22,36946
1570173827.956419,6,116,172.130.201.25,172.19.98.240,22,36946
1570173828.034717,6,420,172.130.201.25,172.19.98.240,22,36946
1570173830.04057,6,116,172.19.98.240,172.130.201.25,36946,22
1570173830.094205,6,116,172.19.98.240,172.130.201.25,36946,22
1570173830.116694,6,116,172.130.201.25,172.19.98.240,22,36946
1570173830.155387,6,116,172.19.98.240,172.130.201.25,36946,22
1570173830.170693,6,116,172.130.201.25,172.19.98.240,22,36946
1570173830.252841,6,116,172.130.201.25,172.19.98.240,22,36946
1570173830.301634,6,116,172.19.98.240,172.130.201.25,36946,22
1570173830.379591,6,116,172.130.201.25,172.19.98.240,22,36946
1570173830.498636,6,116,172.19.98.240,172.130.201.25,36946,22
1570173830.575874,6,116,172.130.201.25,172.19.98.240,22,36946
1570173831.11657,6,116,172.19.98.240,172.130.201.25,36946,22
1570173831.201124,6,132,172.130.201.25,172.19.98.240,22,36946
1570173831.570729,6,116,172.19.98.240,172.130.201.25,36946,22
1570173831.653568,6,116,172.130.201.25,172.19.98.240,22,36946
1570173831.740474,6,116,172.19.98.240,172.130.201.25,36946,22
1570173831.822585,6,116,172.130.201.25,172.19.98.240,22,36946
1570173832.009404,6,116,172.19.98.240,172.130.201.25,36946,22
1570173832.085501,6,116,172.130.201.25,172.19.98.240,22,36946
