time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554114470.467999,6,60,105.197.202.28,192.168.1.149,443,38774
1554114470.46823,6,38,105.197.202.28,192.168.1.149,443,38774
1554114470.468589,6,46,105.197.202.28,192.168.1.149,443,38774
1554114470.468847,6,46,192.168.1.149,105.197.202.28,38774,443
1554114470.49522,6,564,192.168.1.149,105.197.202.28,38774,443
1554114470.775258,6,211,105.197.202.28,192.168.1.149,443,38774
1554114470.775481,6,60,105.197.202.28,192.168.1.149,443,38774
1554114475.572733,17,41,192.168.1.149,192.168.1.1,58072,53
1554114475.575365,17,69,192.168.1.1,192.168.1.149,53,58072
1554114475.577016,6,251,192.168.1.149,195.120.118.226,49258,443
1554114475.577097,6,1368,192.168.1.149,195.120.118.226,49258,443
1554114475.57769,6,1368,192.168.1.149,195.120.118.226,49258,443
1554114475.579838,6,1368,192.168.1.149,195.120.118.226,49258,443
1554114475.581962,6,1150,192.168.1.149,195.120.118.226,49258,443
1554114475.621168,6,337,192.168.1.149,105.197.202.28,38774,443
1554114475.621232,6,1368,192.168.1.149,105.197.202.28,38774,443
1554114475.621758,6,1368,192.168.1.149,105.197.202.28,38774,443
1554114475.623197,6,1368,192.168.1.149,105.197.202.28,38774,443
1554114475.624734,6,1368,192.168.1.149,105.197.202.28,38774,443
1554114475.626229,6,1333,192.168.1.149,105.197.202.28,38774,443
1554114475.64071,6,240,195.120.118.226,192.168.1.149,443,49258
1554114475.640745,6,361,195.120.118.226,192.168.1.149,443,49258
1554114475.640937,6,66,195.120.118.226,192.168.1.149,443,49258
1554114475.641047,6,46,195.120.118.226,192.168.1.149,443,49258
1554114475.641248,6,46,192.168.1.149,195.120.118.226,49258,443
1554114475.784206,6,360,192.168.1.149,105.197.202.28,38774,443
1554114475.784723,6,615,192.168.1.149,105.197.202.28,38774,443
1554114475.807479,6,208,105.197.202.28,192.168.1.149,443,38774
1554114475.81408,6,38,105.197.202.28,192.168.1.149,443,38774
1554114475.814127,6,46,105.197.202.28,192.168.1.149,443,38774
1554114475.814354,6,46,192.168.1.149,105.197.202.28,38774,443
1554114476.10021,6,202,105.197.202.28,192.168.1.149,443,38774
1554114476.100645,6,215,105.197.202.28,192.168.1.149,443,38774
