time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554720296.259408,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.259744,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.261274,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.261507,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.261636,17,98,192.168.1.1,192.168.1.149,53,38219
1554720296.26183,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.262687,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.262789,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.26286,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.262965,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.263968,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.26401,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.264157,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.264268,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.265287,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.265388,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.265485,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.265593,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.266621,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.266719,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.26673,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.266783,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.26761,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.267693,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.267761,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.267821,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.268556,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.26866,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.268898,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.269005,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.269765,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.269843,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.269859,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.269914,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.271128,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.271136,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.271233,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.271285,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.272079,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.272169,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.272183,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.272234,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.273035,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.273125,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.273139,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.273191,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.273913,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.273966,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.274126,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.274201,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.274904,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.274994,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.275008,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.275059,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.276535,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.276638,17,66,192.168.1.149,192.168.1.1,60933,53
1554720296.276845,17,87,192.168.1.1,192.168.1.149,53,38219
1554720296.276952,17,66,192.168.1.149,192.168.1.1,38219,53
1554720296.277549,17,55,192.168.1.1,192.168.1.149,53,60933
1554720296.277601,17,66,192.168.1.149,192.168.1.1,60933,53
