time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551429106.277512,17,49,192.168.1.149,192.168.1.1,52413,53
1551429106.279094,17,145,192.168.1.1,192.168.1.149,53,52413
1551429106.297292,6,517,192.168.1.149,172.217.168.174,54080,443
1551429106.318716,6,160,172.217.168.174,192.168.1.149,443,54080
1551429106.319015,6,216,192.168.1.149,172.217.168.174,54080,443
1551429106.320066,6,93,192.168.1.149,172.217.168.174,54080,443
1551429106.320692,6,779,192.168.1.149,172.217.168.174,54080,443
1551429106.3366,6,69,172.217.168.174,192.168.1.149,443,54080
1551429106.337143,6,38,192.168.1.149,172.217.168.174,54080,443
1551429106.337148,6,38,172.217.168.174,192.168.1.149,443,54080
1551429106.393353,6,459,172.217.168.174,192.168.1.149,443,54080
1551429106.393598,6,107,172.217.168.174,192.168.1.149,443,54080
1551429106.393709,6,121,172.217.168.174,192.168.1.149,443,54080
1551429106.422467,6,224,192.168.1.149,130.206.193.110,60710,443
1551429106.422575,6,224,192.168.1.149,130.206.193.110,60708,443
1551429106.45338,6,1448,130.206.193.110,192.168.1.149,443,60708
1551429106.453643,6,1448,130.206.193.110,192.168.1.149,443,60708
1551429106.454649,6,241,130.206.193.110,192.168.1.149,443,60708
1551429106.45477,6,1448,130.206.193.110,192.168.1.149,443,60710
1551429106.454785,6,1448,130.206.193.110,192.168.1.149,443,60710
1551429106.454794,6,241,130.206.193.110,192.168.1.149,443,60710
1551429106.455763,6,258,192.168.1.149,130.206.193.110,60708,443
1551429106.45692,6,258,192.168.1.149,130.206.193.110,60710,443
1551429106.473403,6,278,130.206.193.110,192.168.1.149,443,60708
1551429106.473782,6,278,130.206.193.110,192.168.1.149,443,60710
1551429106.47623,6,452,192.168.1.149,130.206.193.110,60708,443
1551429106.476321,6,458,192.168.1.149,130.206.193.110,60710,443
1551429106.495135,6,216,130.206.193.110,192.168.1.149,443,60710
1551429106.495144,6,216,130.206.193.110,192.168.1.149,443,60708
1551429106.761373,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.761421,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762572,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762595,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762611,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762624,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762637,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762653,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762671,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762688,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762702,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762715,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762733,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.762747,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.76276,6,503,172.217.168.174,192.168.1.149,443,54080
1551429106.814871,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.815397,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.816346,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.816386,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.816406,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.816416,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.817032,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.81706,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.817351,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.817764,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.818431,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.818468,6,1137,172.217.168.174,192.168.1.149,443,54080
1551429106.818953,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.818991,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.82025,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.820289,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.820669,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.820815,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.821272,6,1418,172.217.168.174,192.168.1.149,443,54080
1551429106.821394,6,1095,172.217.168.174,192.168.1.149,443,54080
1551429106.825507,6,38,172.217.168.174,192.168.1.149,443,54080
1551429106.825613,6,46,172.217.168.174,192.168.1.149,443,54080
1551429106.826351,6,46,192.168.1.149,172.217.168.174,54080,443
1551429106.884235,6,810,192.168.1.149,172.217.168.174,54080,443
1551429106.904051,6,115,192.168.1.149,172.217.168.174,54080,443
1551429106.904092,6,1368,192.168.1.149,172.217.168.174,54080,443
1551429106.904249,6,1368,192.168.1.149,172.217.168.174,54080,443
1551429106.904714,6,78,192.168.1.149,172.217.168.174,54080,443
1551429106.924357,6,214,172.217.168.174,192.168.1.149,443,54080
1551429106.92455,6,38,172.217.168.174,192.168.1.149,443,54080
1551429106.924663,6,46,172.217.168.174,192.168.1.149,443,54080
1551429106.924829,17,53,192.168.1.149,192.168.1.1,32855,53
1551429106.925309,6,46,192.168.1.149,172.217.168.174,54080,443
1551429106.926866,17,327,192.168.1.1,192.168.1.149,53,32855
1551429106.942586,6,1251,192.168.1.149,130.206.193.110,60708,443
1551429106.942846,6,1138,192.168.1.149,130.206.193.110,60710,443
1551429106.947156,6,218,192.168.1.149,216.58.201.130,54838,443
1551429106.954707,17,58,192.168.1.149,192.168.1.1,60296,53
1551429106.983334,6,1448,130.206.193.110,192.168.1.149,443,60708
1551429106.983499,6,372,130.206.193.110,192.168.1.149,443,60708
1551429106.983513,6,1448,130.206.193.110,192.168.1.149,443,60710
1551429106.983522,6,230,130.206.193.110,192.168.1.149,443,60710
1551429106.98763,6,1418,216.58.201.130,192.168.1.149,443,54838
1551429106.987787,6,1359,216.58.201.130,192.168.1.149,443,54838
1551429106.988328,6,258,192.168.1.149,216.58.201.130,54838,443
1551429106.991941,6,93,192.168.1.149,216.58.201.130,54838,443
1551429106.992205,6,606,192.168.1.149,216.58.201.130,54838,443
1551429107.005143,6,321,216.58.201.130,192.168.1.149,443,54838
1551429107.005288,6,69,216.58.201.130,192.168.1.149,443,54838
1551429107.006029,6,38,192.168.1.149,216.58.201.130,54838,443
1551429107.00863,6,38,216.58.201.130,192.168.1.149,443,54838
1551429107.051454,17,358,192.168.1.1,192.168.1.149,53,60296
1551429107.078884,17,53,192.168.1.149,192.168.1.1,38426,53
1551429107.08483,17,352,192.168.1.1,192.168.1.149,53,38426
1551429107.095324,17,37,192.168.1.149,192.168.1.1,52949,53
1551429107.096219,17,60,192.168.1.149,192.168.1.1,50140,53
1551429107.096992,17,406,192.168.1.1,192.168.1.149,53,52949
1551429107.098045,17,331,192.168.1.1,192.168.1.149,53,50140
1551429107.101471,6,517,192.168.1.149,172.217.17.2,42738,443
1551429107.116118,6,517,192.168.1.149,172.217.17.1,53602,443
1551429107.116209,6,517,192.168.1.149,216.58.201.182,57308,443
1551429107.117744,6,332,216.58.201.130,192.168.1.149,443,54838
1551429107.118332,6,38,216.58.201.130,192.168.1.149,443,54838
1551429107.118349,6,46,216.58.201.130,192.168.1.149,443,54838
