time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554117013.000336,6,1368,192.168.1.149,82.158.198.44,34928,443
1554117013.00178,6,1340,192.168.1.149,41.243.103.252,49258,443
1554117013.004847,6,1368,192.168.1.149,82.158.198.44,34928,443
1554117013.006354,6,1368,192.168.1.149,82.158.198.44,34928,443
1554117013.008996,6,252,192.168.1.149,82.158.198.44,34928,443
1554117013.060775,6,249,41.243.103.252,192.168.1.149,443,49258
1554117013.060981,6,394,41.243.103.252,192.168.1.149,443,49258
1554117013.061246,6,63,41.243.103.252,192.168.1.149,443,49258
1554117013.061356,6,46,41.243.103.252,192.168.1.149,443,49258
1554117013.061414,6,46,192.168.1.149,41.243.103.252,49258,443
1554117013.191278,6,207,82.158.198.44,192.168.1.149,443,34928
1554117013.201597,6,38,82.158.198.44,192.168.1.149,443,34928
1554117013.202599,6,46,82.158.198.44,192.168.1.149,443,34928
1554117013.20269,6,46,192.168.1.149,82.158.198.44,34928,443
1554117013.204976,6,357,192.168.1.149,82.158.198.44,34928,443
1554117013.205342,6,215,192.168.1.149,82.158.198.44,34928,443
1554117013.899626,6,165,82.158.198.44,192.168.1.149,443,34928
1554117013.899877,6,204,82.158.198.44,192.168.1.149,443,34928
1554117013.900042,6,213,82.158.198.44,192.168.1.149,443,34928
1554117013.900095,6,208,82.158.198.44,192.168.1.149,443,34928
1554117013.900101,6,174,82.158.198.44,192.168.1.149,443,34928
1554117013.90011,6,239,82.158.198.44,192.168.1.149,443,34928
1554117013.900116,6,46,82.158.198.44,192.168.1.149,443,34928
1554117013.900829,6,46,192.168.1.149,82.158.198.44,34928,443
1554117014.205521,6,380,82.158.198.44,192.168.1.149,443,34928
1554117014.234704,6,351,192.168.1.149,82.158.198.44,34928,443
1554117014.235114,6,214,192.168.1.149,82.158.198.44,34928,443
1554117014.512634,6,204,82.158.198.44,192.168.1.149,443,34928
1554117014.51268,6,215,82.158.198.44,192.168.1.149,443,34928
1554117014.512938,6,360,82.158.198.44,192.168.1.149,443,34928
1554117014.513055,6,164,82.158.198.44,192.168.1.149,443,34928
1554117014.513061,6,192,82.158.198.44,192.168.1.149,443,34928
1554117014.513064,6,46,82.158.198.44,192.168.1.149,443,34928
1554117014.513166,6,46,192.168.1.149,82.158.198.44,34928,443
1554117014.717577,6,380,82.158.198.44,192.168.1.149,443,34928
1554117015.008008,6,359,192.168.1.149,82.158.198.44,34928,443
1554117015.008729,6,217,192.168.1.149,82.158.198.44,34928,443
1554117015.23026,6,204,82.158.198.44,192.168.1.149,443,34928
1554117015.230353,6,215,82.158.198.44,192.168.1.149,443,34928
1554117015.230566,6,135,82.158.198.44,192.168.1.149,443,34928
1554117015.230654,6,299,82.158.198.44,192.168.1.149,443,34928
1554117015.230682,6,268,82.158.198.44,192.168.1.149,443,34928
1554117015.230698,6,46,82.158.198.44,192.168.1.149,443,34928
1554117015.231301,6,46,192.168.1.149,82.158.198.44,34928,443
1554117015.536675,6,380,82.158.198.44,192.168.1.149,443,34928
1554117016.696295,6,354,192.168.1.149,82.158.198.44,34928,443
1554117016.696965,6,210,192.168.1.149,82.158.198.44,34928,443
1554117016.97029,6,204,82.158.198.44,192.168.1.149,443,34928
1554117016.97056,6,214,82.158.198.44,192.168.1.149,443,34928
1554117016.971754,6,285,82.158.198.44,192.168.1.149,443,34928
1554117016.971806,6,270,82.158.198.44,192.168.1.149,443,34928
1554117016.97183,6,268,82.158.198.44,192.168.1.149,443,34928
1554117016.971847,6,46,82.158.198.44,192.168.1.149,443,34928
1554117016.972175,6,46,192.168.1.149,82.158.198.44,34928,443
1554117017.11059,6,353,192.168.1.149,82.158.198.44,34928,443
1554117017.111272,6,210,192.168.1.149,82.158.198.44,34928,443
1554117017.189829,6,380,82.158.198.44,192.168.1.149,443,34928
1554117017.331075,6,204,82.158.198.44,192.168.1.149,443,34928
1554117017.331719,6,215,82.158.198.44,192.168.1.149,443,34928
1554117017.331958,6,320,82.158.198.44,192.168.1.149,443,34928
1554117017.335799,6,137,82.158.198.44,192.168.1.149,443,34928
1554117017.336045,6,88,82.158.198.44,192.168.1.149,443,34928
1554117017.336118,6,46,82.158.198.44,192.168.1.149,443,34928
1554117017.33634,6,46,192.168.1.149,82.158.198.44,34928,443
1554117017.688648,6,380,82.158.198.44,192.168.1.149,443,34928
1554117017.759883,6,353,192.168.1.149,82.158.198.44,34928,443
1554117017.760255,6,217,192.168.1.149,82.158.198.44,34928,443
1554117017.994282,6,204,82.158.198.44,192.168.1.149,443,34928
1554117017.994359,6,213,82.158.198.44,192.168.1.149,443,34928
1554117017.994614,6,308,82.158.198.44,192.168.1.149,443,34928
1554117017.994696,6,209,82.158.198.44,192.168.1.149,443,34928
1554117017.994731,6,210,82.158.198.44,192.168.1.149,443,34928
1554117017.994758,6,46,82.158.198.44,192.168.1.149,443,34928
1554117017.995312,6,46,192.168.1.149,82.158.198.44,34928,443
1554117018.252102,6,622,192.168.1.149,82.158.198.44,34928,443
1554117018.25288,6,214,192.168.1.149,82.158.198.44,34928,443
1554117018.253085,6,380,82.158.198.44,192.168.1.149,443,34928
1554117018.506227,6,204,82.158.198.44,192.168.1.149,443,34928
1554117018.506779,6,214,82.158.198.44,192.168.1.149,443,34928
1554117018.507054,6,305,82.158.198.44,192.168.1.149,443,34928
1554117018.507169,6,99,82.158.198.44,192.168.1.149,443,34928
1554117018.507195,6,103,82.158.198.44,192.168.1.149,443,34928
1554117018.507277,6,46,82.158.198.44,192.168.1.149,443,34928
1554117018.507404,6,46,192.168.1.149,82.158.198.44,34928,443
1554117018.759434,6,353,192.168.1.149,82.158.198.44,34928,443
1554117018.760143,6,214,192.168.1.149,82.158.198.44,34928,443
1554117018.76036,6,380,82.158.198.44,192.168.1.149,443,34928
1554117019.018307,6,204,82.158.198.44,192.168.1.149,443,34928
1554117019.018525,6,214,82.158.198.44,192.168.1.149,443,34928
1554117019.018628,6,150,82.158.198.44,192.168.1.149,443,34928
1554117019.018663,6,258,82.158.198.44,192.168.1.149,443,34928
1554117019.018693,6,66,82.158.198.44,192.168.1.149,443,34928
1554117019.018715,6,46,82.158.198.44,192.168.1.149,443,34928
1554117019.019092,6,46,192.168.1.149,82.158.198.44,34928,443
1554117019.189409,6,802,192.168.1.149,82.158.198.44,34928,443
1554117019.190102,6,212,192.168.1.149,82.158.198.44,34928,443
1554117019.250704,6,380,82.158.198.44,192.168.1.149,443,34928
1554117019.31986,17,41,192.168.1.149,192.168.1.1,35627,53
1554117019.32448,6,245,192.168.1.149,41.243.103.252,49258,443
1554117019.32465,6,1368,192.168.1.149,41.243.103.252,49258,443
1554117019.325177,6,1368,192.168.1.149,41.243.103.252,49258,443
1554117019.3252,6,1368,192.168.1.149,41.243.103.252,49258,443
1554117019.325535,6,328,192.168.1.149,41.243.103.252,49258,443
1554117019.326425,6,270,192.168.1.149,82.158.198.44,34928,443
1554117019.32649,6,1368,192.168.1.149,82.158.198.44,34928,443
1554117019.32661,6,1368,192.168.1.149,82.158.198.44,34928,443
1554117019.3269,17,305,192.168.1.1,192.168.1.149,53,35627
1554117019.327185,6,1368,192.168.1.149,82.158.198.44,34928,443
1554117019.327191,6,1368,192.168.1.149,82.158.198.44,34928,443
1554117019.32746,6,140,192.168.1.149,82.158.198.44,34928,443
1554117019.380907,6,248,41.243.103.252,192.168.1.149,443,49258
1554117019.38113,6,412,41.243.103.252,192.168.1.149,443,49258
1554117019.381213,6,183,41.243.103.252,192.168.1.149,443,49258
1554117019.381223,6,46,41.243.103.252,192.168.1.149,443,49258
1554117019.381492,6,46,192.168.1.149,41.243.103.252,49258,443
1554117019.409852,6,204,82.158.198.44,192.168.1.149,443,34928
1554117019.4119,6,214,82.158.198.44,192.168.1.149,443,34928
1554117019.413284,6,300,82.158.198.44,192.168.1.149,443,34928
1554117019.416883,6,194,82.158.198.44,192.168.1.149,443,34928
1554117019.417136,6,260,82.158.198.44,192.168.1.149,443,34928
1554117019.417242,6,46,82.158.198.44,192.168.1.149,443,34928
1554117019.417349,6,46,192.168.1.149,82.158.198.44,34928,443
1554117019.503985,6,208,82.158.198.44,192.168.1.149,443,34928
1554117019.51567,6,38,82.158.198.44,192.168.1.149,443,34928
1554117019.515923,6,46,82.158.198.44,192.168.1.149,443,34928
1554117019.516104,6,46,192.168.1.149,82.158.198.44,34928,443
1554117019.735142,6,380,82.158.198.44,192.168.1.149,443,34928
1554117020.866728,6,354,192.168.1.149,82.158.198.44,34928,443
1554117020.867347,6,214,192.168.1.149,82.158.198.44,34928,443
1554117021.16868,6,204,82.158.198.44,192.168.1.149,443,34928
1554117021.168881,6,38,82.158.198.44,192.168.1.149,443,34928
1554117021.169502,6,46,82.158.198.44,192.168.1.149,443,34928
1554117021.169537,6,214,82.158.198.44,192.168.1.149,443,34928
1554117021.169615,6,46,192.168.1.149,82.158.198.44,34928,443
1554117021.169728,6,273,82.158.198.44,192.168.1.149,443,34928
1554117021.169736,6,77,82.158.198.44,192.168.1.149,443,34928
1554117021.16974,6,186,82.158.198.44,192.168.1.149,443,34928
1554117021.185409,6,186,82.158.198.44,192.168.1.149,443,34928
1554117021.192925,6,463,192.168.1.149,82.158.198.44,34928,443
1554117021.201898,6,286,192.168.1.149,82.158.198.44,34928,443
1554117021.202841,6,212,192.168.1.149,82.158.198.44,34928,443
1554117021.37507,6,211,82.158.198.44,192.168.1.149,443,34928
1554117021.37533,6,380,82.158.198.44,192.168.1.149,443,34928
1554117021.417195,6,204,82.158.198.44,192.168.1.149,443,34928
1554117021.418282,6,215,82.158.198.44,192.168.1.149,443,34928
1554117021.420636,6,165,82.158.198.44,192.168.1.149,443,34928
1554117021.425765,6,230,82.158.198.44,192.168.1.149,443,34928
1554117021.425965,6,206,82.158.198.44,192.168.1.149,443,34928
1554117021.426358,6,46,82.158.198.44,192.168.1.149,443,34928
1554117021.426453,6,46,192.168.1.149,82.158.198.44,34928,443
1554117021.680742,6,380,82.158.198.44,192.168.1.149,443,34928
1554117021.769027,6,353,192.168.1.149,82.158.198.44,34928,443
1554117021.769261,6,214,192.168.1.149,82.158.198.44,34928,443
1554117022.194403,6,204,82.158.198.44,192.168.1.149,443,34928
1554117022.194619,6,213,82.158.198.44,192.168.1.149,443,34928
1554117022.194703,6,219,82.158.198.44,192.168.1.149,443,34928
1554117022.194727,6,63,82.158.198.44,192.168.1.149,443,34928
1554117022.194743,6,155,82.158.198.44,192.168.1.149,443,34928
1554117022.194761,6,46,82.158.198.44,192.168.1.149,443,34928
1554117022.195327,6,46,192.168.1.149,82.158.198.44,34928,443
1554117022.326424,6,251,192.168.1.149,41.243.103.252,49258,443
1554117022.326562,6,1368,192.168.1.149,41.243.103.252,49258,443
1554117022.327078,6,1368,192.168.1.149,41.243.103.252,49258,443
1554117022.327098,6,1368,192.168.1.149,41.243.103.252,49258,443
