time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554468820.951516,6,31,59.41.238.221,192.168.1.149,443,43782
1554468820.951806,6,35,192.168.1.149,59.41.238.221,43782,443
1554468893.92503,17,53,192.168.1.149,224.0.0.251,5353,5353
1554468995.954289,17,55,192.168.1.149,192.168.1.1,35329,53
1554468995.954416,17,55,192.168.1.149,192.168.1.1,46979,53
1554468995.957777,17,87,192.168.1.1,192.168.1.149,53,35329
1554468995.957806,17,55,192.168.1.1,192.168.1.149,53,46979
1554468997.180141,6,87,192.168.1.149,190.194.122.48,45234,80
1554468997.386451,6,148,190.194.122.48,192.168.1.149,80,45234
