time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554731768.680162,6,59,53.200.186.147,192.168.1.149,443,40692
1554731789.095334,6,46,192.168.1.149,33.97.235.251,48234,443
1554731789.11884,6,46,33.97.235.251,192.168.1.149,443,48234
1554731796.635339,6,59,53.200.186.147,192.168.1.149,443,40692
1554731796.635597,6,38,53.200.186.147,192.168.1.149,443,40692
1554731796.635662,6,46,53.200.186.147,192.168.1.149,443,40692
1554731796.635787,6,46,192.168.1.149,53.200.186.147,40692,443
1554731796.663944,6,470,192.168.1.149,53.200.186.147,40692,443
1554731796.940748,6,215,53.200.186.147,192.168.1.149,443,40692
1554731796.94155,6,59,53.200.186.147,192.168.1.149,443,40692
1554731821.211211,6,59,53.200.186.147,192.168.1.149,443,40692
1554731836.277584,6,842,192.168.1.149,53.200.186.147,40692,443
1554731836.279473,6,50,192.168.1.149,53.200.186.147,40692,443
1554731836.569486,6,224,53.200.186.147,192.168.1.149,443,40692
1554731836.569615,6,172,53.200.186.147,192.168.1.149,443,40692
1554731836.569805,6,114,53.200.186.147,192.168.1.149,443,40692
1554731836.570026,6,241,53.200.186.147,192.168.1.149,443,40692
1554731836.570063,6,46,53.200.186.147,192.168.1.149,443,40692
1554731836.570335,6,46,192.168.1.149,53.200.186.147,40692,443
1554731842.120238,6,46,192.168.1.149,33.97.235.251,48234,443
1554731842.120471,6,31,192.168.1.149,33.97.235.251,48234,443
1554731850.702443,6,59,53.200.186.147,192.168.1.149,443,40692
1554731850.702487,6,38,53.200.186.147,192.168.1.149,443,40692
1554731850.702622,6,46,53.200.186.147,192.168.1.149,443,40692
1554731850.702874,6,46,192.168.1.149,53.200.186.147,40692,443
1554731850.727401,6,484,192.168.1.149,53.200.186.147,40692,443
1554731851.007927,6,215,53.200.186.147,192.168.1.149,443,40692
1554731851.008142,6,59,53.200.186.147,192.168.1.149,443,40692
1554731868.518627,6,31,182.131.104.161,192.168.1.149,443,59192
1554731868.518866,6,35,192.168.1.149,182.131.104.161,59192,443
1554731876.097713,6,59,53.200.186.147,192.168.1.149,443,40692
1554731903.745804,6,59,53.200.186.147,192.168.1.149,443,40692
1554731903.746055,6,38,53.200.186.147,192.168.1.149,443,40692
1554731903.746131,6,46,53.200.186.147,192.168.1.149,443,40692
1554731903.746216,6,46,192.168.1.149,53.200.186.147,40692,443
1554731903.75495,17,41,192.168.1.149,192.168.1.1,46660,53
1554731903.756715,17,305,192.168.1.1,192.168.1.149,53,46660
1554731903.770095,6,469,192.168.1.149,53.200.186.147,40692,443
1554731904.051435,6,214,53.200.186.147,192.168.1.149,443,40692
1554731904.051682,6,59,53.200.186.147,192.168.1.149,443,40692
1554731929.141093,6,59,53.200.186.147,192.168.1.149,443,40692
