time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551425576.861561,17,180,192.168.1.149,239.255.255.250,42720,1900
1551425577.865117,17,180,192.168.1.149,239.255.255.250,42720,1900
1551425578.866032,17,180,192.168.1.149,239.255.255.250,42720,1900
1551425579.888727,17,180,192.168.1.149,239.255.255.250,42720,1900
1551425579.889521,17,55,192.168.1.149,192.168.1.1,46749,53
1551425579.890945,17,71,192.168.1.1,192.168.1.149,53,46749
1551425579.909178,6,213,192.168.1.149,172.217.16.227,48174,443
1551425579.947244,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425579.948139,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425579.949574,6,997,172.217.16.227,192.168.1.149,443,48174
1551425579.951488,6,93,192.168.1.149,172.217.16.227,48174,443
1551425579.975618,6,284,172.217.16.227,192.168.1.149,443,48174
1551425579.975636,6,69,172.217.16.227,192.168.1.149,443,48174
1551425580.004803,6,69,172.217.16.227,192.168.1.149,443,48174
1551425580.157944,6,93,192.168.1.149,172.217.16.227,48174,443
1551425580.158739,6,300,192.168.1.149,172.217.16.227,48174,443
1551425580.174394,6,38,172.217.16.227,192.168.1.149,443,48174
1551425580.209983,6,308,172.217.16.227,192.168.1.149,443,48174
1551425580.210349,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.211091,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.211509,6,925,172.217.16.227,192.168.1.149,443,48174
1551425580.237231,17,40,192.168.1.149,192.168.1.1,52355,53
1551425580.238821,17,304,192.168.1.1,192.168.1.149,53,52355
1551425580.248065,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.248387,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.248406,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.249217,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.249232,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.249243,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.250553,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.250664,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.250682,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.250694,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.250702,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.25071,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.250713,6,1418,172.217.16.227,192.168.1.149,443,48174
1551425580.251703,6,537,172.217.16.227,192.168.1.149,443,48174
1551425580.252264,6,46,192.168.1.149,172.217.16.227,48174,443
1551425580.255924,6,202,192.168.1.149,216.58.211.36,53404,443
1551425580.298965,6,1418,216.58.211.36,192.168.1.149,443,53404
1551425580.299234,6,1148,216.58.211.36,192.168.1.149,443,53404
1551425581.164041,6,258,192.168.1.149,216.58.211.36,53404,443
1551425581.182531,6,321,216.58.211.36,192.168.1.149,443,53404
1551425581.221061,17,45,192.168.1.149,192.168.1.1,49353,53
