time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554733269.221153,6,46,192.168.1.149,205.239.39.92,45350,443
1554733269.247545,6,46,205.239.39.92,192.168.1.149,443,45350
1554733269.97463,6,52,160.175.171.249,192.168.1.149,443,60094
1554733271.416207,17,41,192.168.1.149,192.168.1.1,37765,53
1554733271.41963,6,106,192.168.1.149,205.239.39.92,45350,443
1554733271.420085,17,324,192.168.1.1,192.168.1.149,53,37765
1554733271.465478,6,93,205.239.39.92,192.168.1.149,443,45350
1554733271.465744,6,119,205.239.39.92,192.168.1.149,443,45350
1554733271.465806,6,46,205.239.39.92,192.168.1.149,443,45350
1554733271.466138,6,46,192.168.1.149,205.239.39.92,45350,443
1554733284.221796,6,46,192.168.1.149,35.164.93.218,48326,443
1554733284.246246,6,46,35.164.93.218,192.168.1.149,443,48326
1554733293.67973,17,49,192.168.1.149,192.168.1.1,58082,53
1554733293.679885,17,49,192.168.1.149,192.168.1.1,32883,53
1554733293.68261,17,313,192.168.1.1,192.168.1.149,53,58082
1554733293.682926,17,325,192.168.1.1,192.168.1.149,53,32883
1554733293.716593,6,631,192.168.1.149,112.242.147.83,58174,443
1554733293.746116,6,212,112.242.147.83,192.168.1.149,443,58174
1554733293.747222,6,64,192.168.1.149,112.242.147.83,58174,443
1554733293.749781,6,170,192.168.1.149,112.242.147.83,58174,443
1554733293.749831,6,1368,192.168.1.149,112.242.147.83,58174,443
1554733293.750364,6,621,192.168.1.149,112.242.147.83,58174,443
1554733293.771387,6,502,112.242.147.83,192.168.1.149,443,58174
1554733293.771429,6,62,112.242.147.83,192.168.1.149,443,58174
1554733293.771831,6,31,192.168.1.149,112.242.147.83,58174,443
1554733293.772548,6,31,112.242.147.83,192.168.1.149,443,58174
1554733293.876158,6,425,112.242.147.83,192.168.1.149,443,58174
1554733293.876356,6,219,112.242.147.83,192.168.1.149,443,58174
1554733293.87772,6,209,112.242.147.83,192.168.1.149,443,58174
1554733293.878047,6,181,112.242.147.83,192.168.1.149,443,58174
1554733293.878104,6,39,112.242.147.83,192.168.1.149,443,58174
1554733293.878585,6,39,192.168.1.149,112.242.147.83,58174,443
1554733298.338436,6,52,160.175.171.249,192.168.1.149,443,60094
1554733308.690398,6,46,192.168.1.149,1.136.180.84,50452,443
1554733308.714512,6,46,1.136.180.84,192.168.1.149,443,50452
1554733323.837301,6,52,160.175.171.249,192.168.1.149,443,60094
1554733329.69118,6,46,192.168.1.149,205.239.39.92,45350,443
1554733329.714657,6,46,205.239.39.92,192.168.1.149,443,45350
1554733336.717905,6,46,192.168.1.149,35.164.93.218,48326,443
1554733336.71817,6,31,192.168.1.149,35.164.93.218,48326,443
1554733347.901904,6,52,160.175.171.249,192.168.1.149,443,60094
1554733352.692079,6,39,192.168.1.149,112.242.147.83,58174,443
1554733352.715424,6,39,112.242.147.83,192.168.1.149,443,58174
1554733361.718574,6,46,192.168.1.149,1.136.180.84,50452,443
1554733361.718968,6,31,192.168.1.149,1.136.180.84,50452,443
1554733369.713541,6,31,144.87.230.183,192.168.1.149,443,59192
1554733369.713813,6,35,192.168.1.149,144.87.230.183,59192,443
1554733371.244484,17,41,192.168.1.149,192.168.1.1,37519,53
1554733371.246775,17,305,192.168.1.1,192.168.1.149,53,37519
1554733371.27183,6,588,192.168.1.149,35.164.93.218,48334,443
1554733371.297665,6,156,35.164.93.218,192.168.1.149,443,48334
1554733371.298237,6,51,192.168.1.149,35.164.93.218,48334,443
1554733371.30101,6,177,192.168.1.149,35.164.93.218,48334,443
1554733371.301057,6,1368,192.168.1.149,35.164.93.218,48334,443
1554733371.301612,6,254,192.168.1.149,35.164.93.218,48334,443
1554733371.32214,6,69,35.164.93.218,192.168.1.149,443,48334
1554733371.322358,6,38,192.168.1.149,35.164.93.218,48334,443
1554733371.325452,6,38,35.164.93.218,192.168.1.149,443,48334
1554733371.352176,6,436,35.164.93.218,192.168.1.149,443,48334
1554733371.35247,6,422,35.164.93.218,192.168.1.149,443,48334
1554733371.354323,6,211,35.164.93.218,192.168.1.149,443,48334
1554733371.354582,6,46,35.164.93.218,192.168.1.149,443,48334
1554733371.354844,6,46,192.168.1.149,35.164.93.218,48334,443
1554733377.59792,6,52,160.175.171.249,192.168.1.149,443,60094
1554733388.24658,6,46,192.168.1.149,205.239.39.92,45350,443
1554733388.269582,6,46,205.239.39.92,192.168.1.149,443,45350
1554733391.474618,17,41,192.168.1.149,192.168.1.1,53249,53
1554733391.476997,17,312,192.168.1.1,192.168.1.149,53,53249
1554733391.480821,6,107,192.168.1.149,205.239.39.92,45350,443
1554733391.525562,6,93,205.239.39.92,192.168.1.149,443,45350
1554733391.525766,6,81,205.239.39.92,192.168.1.149,443,45350
1554733391.525881,6,38,205.239.39.92,192.168.1.149,443,45350
1554733391.525909,6,46,205.239.39.92,192.168.1.149,443,45350
1554733391.526118,6,46,192.168.1.149,205.239.39.92,45350,443
1554733407.497627,6,52,160.175.171.249,192.168.1.149,443,60094
1554733411.247364,6,39,192.168.1.149,112.242.147.83,58174,443
1554733411.269386,6,39,112.242.147.83,192.168.1.149,443,58174
1554733430.248177,6,46,192.168.1.149,35.164.93.218,48334,443
1554733430.271759,6,46,35.164.93.218,192.168.1.149,443,48334
1554733432.278606,6,52,160.175.171.249,192.168.1.149,443,60094
1554733432.278682,6,31,160.175.171.249,192.168.1.149,443,60094
1554733432.278908,6,39,160.175.171.249,192.168.1.149,443,60094
1554733432.279008,6,39,192.168.1.149,160.175.171.249,60094,443
1554733432.290593,17,53,192.168.1.149,192.168.1.1,53417,53
1554733432.290849,17,53,192.168.1.149,192.168.1.1,43136,53
1554733432.292663,17,317,192.168.1.1,192.168.1.149,53,53417
1554733432.292986,17,329,192.168.1.1,192.168.1.149,53,43136
1554733432.303293,6,381,192.168.1.149,160.175.171.249,60094,443
1554733432.352138,6,203,160.175.171.249,192.168.1.149,443,60094
1554733432.352168,6,52,160.175.171.249,192.168.1.149,443,60094
1554733450.248845,6,46,192.168.1.149,205.239.39.92,45350,443
1554733450.272256,6,46,205.239.39.92,192.168.1.149,443,45350
1554733460.850094,6,52,160.175.171.249,192.168.1.149,443,60094
1554733464.273607,6,39,192.168.1.149,112.242.147.83,58174,443
1554733464.273888,6,24,192.168.1.149,112.242.147.83,58174,443
1554733466.147584,17,41,192.168.1.149,192.168.1.1,39220,53
1554733466.149421,6,333,192.168.1.149,35.164.93.218,48334,443
1554733466.150203,6,793,192.168.1.149,35.164.93.218,48334,443
1554733466.150408,17,317,192.168.1.1,192.168.1.149,53,39220
