time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554732992.813358,17,49,192.168.1.149,192.168.1.1,40875,53
1554732992.816911,17,325,192.168.1.1,192.168.1.149,53,40875
1554732992.848613,6,631,192.168.1.149,63.205.118.85,54534,443
1554732992.877411,6,212,63.205.118.85,192.168.1.149,443,54534
1554732992.878188,6,64,192.168.1.149,63.205.118.85,54534,443
1554732992.880453,6,170,192.168.1.149,63.205.118.85,54534,443
1554732992.880497,6,1368,192.168.1.149,63.205.118.85,54534,443
1554732992.880902,6,621,192.168.1.149,63.205.118.85,54534,443
1554732992.90154,6,502,63.205.118.85,192.168.1.149,443,54534
1554732992.901584,6,62,63.205.118.85,192.168.1.149,443,54534
1554732992.901924,6,31,192.168.1.149,63.205.118.85,54534,443
1554732992.902164,6,31,63.205.118.85,192.168.1.149,443,54534
1554732993.595047,6,425,63.205.118.85,192.168.1.149,443,54534
1554732993.59532,6,238,63.205.118.85,192.168.1.149,443,54534
1554732993.595438,6,206,63.205.118.85,192.168.1.149,443,54534
1554732993.59545,6,62,63.205.118.85,192.168.1.149,443,54534
1554732993.595458,6,39,63.205.118.85,192.168.1.149,443,54534
1554732993.595569,6,39,192.168.1.149,63.205.118.85,54534,443
1554733001.275651,6,52,160.175.171.249,192.168.1.149,443,60094
1554733001.27587,6,31,160.175.171.249,192.168.1.149,443,60094
1554733001.275934,6,39,160.175.171.249,192.168.1.149,443,60094
1554733001.276106,6,39,192.168.1.149,160.175.171.249,60094,443
1554733001.287073,17,53,192.168.1.149,192.168.1.1,40267,53
1554733001.288762,17,317,192.168.1.1,192.168.1.149,53,40267
1554733001.299411,6,382,192.168.1.149,160.175.171.249,60094,443
1554733001.348342,6,204,160.175.171.249,192.168.1.149,443,60094
1554733001.357101,6,52,160.175.171.249,192.168.1.149,443,60094
1554733026.771726,6,52,160.175.171.249,192.168.1.149,443,60094
1554733027.822871,6,46,192.168.1.149,205.239.39.92,45350,443
1554733027.846917,6,46,205.239.39.92,192.168.1.149,443,45350
1554733031.297822,17,41,192.168.1.149,192.168.1.1,39707,53
1554733031.301401,17,324,192.168.1.1,192.168.1.149,53,39707
1554733031.302841,6,107,192.168.1.149,205.239.39.92,45350,443
1554733031.347648,6,93,205.239.39.92,192.168.1.149,443,45350
1554733031.347896,6,81,205.239.39.92,192.168.1.149,443,45350
1554733031.347976,6,38,205.239.39.92,192.168.1.149,443,45350
1554733031.348006,6,46,205.239.39.92,192.168.1.149,443,45350
1554733031.348322,6,46,192.168.1.149,205.239.39.92,45350,443
1554733036.849888,6,46,192.168.1.149,117.83.92.165,49386,443
1554733036.850213,6,31,192.168.1.149,117.83.92.165,49386,443
1554733051.040675,6,52,160.175.171.249,192.168.1.149,443,60094
1554733051.823949,6,39,192.168.1.149,63.205.118.85,54534,443
1554733051.846164,6,39,63.205.118.85,192.168.1.149,443,54534
1554733069.474477,6,31,144.87.230.183,192.168.1.149,443,59192
1554733069.474748,6,35,192.168.1.149,144.87.230.183,59192,443
1554733080.840909,6,52,160.175.171.249,192.168.1.149,443,60094
1554733089.824732,6,46,192.168.1.149,205.239.39.92,45350,443
1554733089.848373,6,46,205.239.39.92,192.168.1.149,443,45350
1554733104.904952,6,52,160.175.171.249,192.168.1.149,443,60094
1554733110.825476,6,39,192.168.1.149,63.205.118.85,54534,443
1554733110.848068,6,39,63.205.118.85,192.168.1.149,443,54534
1554733129.174243,6,52,160.175.171.249,192.168.1.149,443,60094
1554733148.826189,6,46,192.168.1.149,205.239.39.92,45350,443
1554733148.848659,6,46,205.239.39.92,192.168.1.149,443,45350
1554733151.355994,17,41,192.168.1.149,192.168.1.1,40557,53
1554733151.358224,17,312,192.168.1.1,192.168.1.149,53,40557
1554733151.361429,6,107,192.168.1.149,205.239.39.92,45350,443
1554733151.404323,6,93,205.239.39.92,192.168.1.149,443,45350
1554733151.40452,6,81,205.239.39.92,192.168.1.149,443,45350
1554733151.40459,6,38,205.239.39.92,192.168.1.149,443,45350
1554733151.404609,6,46,205.239.39.92,192.168.1.149,443,45350
1554733151.40498,6,46,192.168.1.149,205.239.39.92,45350,443
1554733156.718232,6,52,160.175.171.249,192.168.1.149,443,60094
1554733163.850819,6,39,192.168.1.149,63.205.118.85,54534,443
1554733163.851118,6,24,192.168.1.149,63.205.118.85,54534,443
1554733166.141054,17,41,192.168.1.149,192.168.1.1,57274,53
1554733166.141154,17,41,192.168.1.149,192.168.1.1,55388,53
1554733166.143315,17,305,192.168.1.1,192.168.1.149,53,57274
1554733166.143635,17,317,192.168.1.1,192.168.1.149,53,55388
1554733166.169209,6,588,192.168.1.149,35.164.93.218,48326,443
1554733166.198094,6,156,35.164.93.218,192.168.1.149,443,48326
1554733166.198472,6,51,192.168.1.149,35.164.93.218,48326,443
1554733166.201262,6,177,192.168.1.149,35.164.93.218,48326,443
1554733166.20135,6,1368,192.168.1.149,35.164.93.218,48326,443
1554733166.201738,6,308,192.168.1.149,35.164.93.218,48326,443
1554733166.220831,6,69,35.164.93.218,192.168.1.149,443,48326
1554733166.221048,6,38,192.168.1.149,35.164.93.218,48326,443
1554733166.223664,6,38,35.164.93.218,192.168.1.149,443,48326
1554733166.252319,6,435,35.164.93.218,192.168.1.149,443,48326
1554733166.252577,6,226,35.164.93.218,192.168.1.149,443,48326
1554733166.252719,6,210,35.164.93.218,192.168.1.149,443,48326
1554733166.252741,6,46,35.164.93.218,192.168.1.149,443,48326
1554733166.253281,6,46,192.168.1.149,35.164.93.218,48326,443
1554733182.626957,6,52,160.175.171.249,192.168.1.149,443,60094
1554733191.216411,17,53,192.168.1.149,192.168.1.1,57485,53
1554733191.216522,17,53,192.168.1.149,192.168.1.1,48247,53
1554733191.21875,17,317,192.168.1.1,192.168.1.149,53,57485
1554733191.243198,6,517,192.168.1.149,1.136.180.84,50452,443
1554733191.262729,17,329,192.168.1.1,192.168.1.149,53,48247
1554733191.288704,6,1418,1.136.180.84,192.168.1.149,443,50452
1554733191.288778,6,1418,1.136.180.84,192.168.1.149,443,50452
1554733191.290629,6,759,1.136.180.84,192.168.1.149,443,50452
1554733191.296326,6,93,192.168.1.149,1.136.180.84,50452,443
1554733191.297291,6,177,192.168.1.149,1.136.180.84,50452,443
1554733191.297359,6,1368,192.168.1.149,1.136.180.84,50452,443
1554733191.297916,6,215,192.168.1.149,1.136.180.84,50452,443
1554733191.299457,6,397,192.168.1.149,1.136.180.84,50452,443
1554733191.319867,6,284,1.136.180.84,192.168.1.149,443,50452
1554733191.320103,6,69,1.136.180.84,192.168.1.149,443,50452
1554733191.320213,6,38,1.136.180.84,192.168.1.149,443,50452
1554733191.320339,6,38,192.168.1.149,1.136.180.84,50452,443
1554733191.534865,6,540,1.136.180.84,192.168.1.149,443,50452
1554733191.535143,6,216,1.136.180.84,192.168.1.149,443,50452
1554733191.535993,6,182,1.136.180.84,192.168.1.149,443,50452
1554733191.536008,6,46,1.136.180.84,192.168.1.149,443,50452
1554733191.536013,6,46,1.136.180.84,192.168.1.149,443,50452
1554733191.536121,6,46,192.168.1.149,1.136.180.84,50452,443
1554733191.55138,6,429,160.175.171.249,192.168.1.149,443,60094
1554733191.576696,6,225,1.136.180.84,192.168.1.149,443,50452
1554733191.576892,6,205,1.136.180.84,192.168.1.149,443,50452
1554733191.578762,6,124,1.136.180.84,192.168.1.149,443,50452
1554733191.579009,6,46,1.136.180.84,192.168.1.149,443,50452
1554733191.579155,6,46,192.168.1.149,1.136.180.84,50452,443
1554733196.259114,17,55,192.168.1.149,192.168.1.1,60147,53
1554733196.259329,17,55,192.168.1.149,192.168.1.1,47006,53
1554733196.260867,17,55,192.168.1.1,192.168.1.149,53,47006
1554733196.261296,17,199,192.168.1.1,192.168.1.149,53,60147
1554733197.475328,6,87,192.168.1.149,17.234.254.2,44164,80
1554733197.678781,6,148,17.234.254.2,192.168.1.149,80,44164
1554733210.218986,6,46,192.168.1.149,205.239.39.92,45350,443
