time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1570290264.019988,6,116,172.19.98.240,174.11.230.62,43144,22
1570290264.101,6,148,174.11.230.62,172.19.98.240,22,43144
1570290264.178722,6,116,172.19.98.240,174.11.230.62,43144,22
1570290264.256468,6,148,174.11.230.62,172.19.98.240,22,43144
1570290264.36759,6,116,172.19.98.240,174.11.230.62,43144,22
1570290264.446677,6,148,174.11.230.62,172.19.98.240,22,43144
1570290264.514467,6,116,172.19.98.240,174.11.230.62,43144,22
1570290264.594765,6,148,174.11.230.62,172.19.98.240,22,43144
1570290264.998035,6,212,172.19.98.240,174.11.230.62,43144,22
1570290265.078409,6,132,174.11.230.62,172.19.98.240,22,43144
1570290265.116925,6,308,174.11.230.62,172.19.98.240,22,43144
1570290265.726614,6,132,172.19.98.240,174.11.230.62,43144,22
1570290265.806084,6,148,174.11.230.62,172.19.98.240,22,43144
1570290265.830943,6,132,172.19.98.240,174.11.230.62,43144,22
1570290265.908466,6,132,174.11.230.62,172.19.98.240,22,43144
1570290265.99426,6,132,172.19.98.240,174.11.230.62,43144,22
1570290266.072232,6,132,174.11.230.62,172.19.98.240,22,43144
1570290266.354545,6,132,172.19.98.240,174.11.230.62,43144,22
1570290266.434484,6,132,174.11.230.62,172.19.98.240,22,43144
1570290266.635575,6,132,172.19.98.240,174.11.230.62,43144,22
1570290266.714808,6,148,174.11.230.62,172.19.98.240,22,43144
1570290266.902196,6,116,172.19.98.240,174.11.230.62,43144,22
1570290266.982237,6,180,174.11.230.62,172.19.98.240,22,43144
1570290267.069083,6,116,172.19.98.240,174.11.230.62,43144,22
1570290267.147311,6,180,174.11.230.62,172.19.98.240,22,43144
1570290267.219447,6,116,172.19.98.240,174.11.230.62,43144,22
1570290267.296747,6,180,174.11.230.62,172.19.98.240,22,43144
1570290267.814001,6,116,172.19.98.240,174.11.230.62,43144,22
1570290267.907576,6,148,174.11.230.62,172.19.98.240,22,43144
1570290268.402771,6,116,172.19.98.240,174.11.230.62,43144,22
1570290268.482779,6,196,174.11.230.62,172.19.98.240,22,43144
1570290268.573153,6,116,172.19.98.240,174.11.230.62,43144,22
1570290268.650855,6,180,174.11.230.62,172.19.98.240,22,43144
1570290268.941574,6,116,172.19.98.240,174.11.230.62,43144,22
1570290269.021299,6,180,174.11.230.62,172.19.98.240,22,43144
1570290269.02367,6,116,172.19.98.240,174.11.230.62,43144,22
1570290269.101435,6,180,174.11.230.62,172.19.98.240,22,43144
1570290269.1383,6,116,172.19.98.240,174.11.230.62,43144,22
1570290269.215796,6,196,174.11.230.62,172.19.98.240,22,43144
1570290269.380706,6,132,172.19.98.240,174.11.230.62,43144,22
1570290269.470076,6,116,174.11.230.62,172.19.98.240,22,43144
1570290269.678557,6,116,172.19.98.240,174.11.230.62,43144,22
1570290269.763805,6,180,174.11.230.62,172.19.98.240,22,43144
1570290269.830644,6,116,172.19.98.240,174.11.230.62,43144,22
1570290269.90845,6,180,174.11.230.62,172.19.98.240,22,43144
1570290269.97763,6,116,172.19.98.240,174.11.230.62,43144,22
1570290270.056817,6,180,174.11.230.62,172.19.98.240,22,43144
1570290270.527777,6,116,172.19.98.240,174.11.230.62,43144,22
1570290270.607133,6,180,174.11.230.62,172.19.98.240,22,43144
1570290270.728334,6,132,172.19.98.240,174.11.230.62,43144,22
1570290270.807286,6,180,174.11.230.62,172.19.98.240,22,43144
1570290271.146913,6,116,172.19.98.240,174.11.230.62,43144,22
1570290271.226568,6,180,174.11.230.62,172.19.98.240,22,43144
1570290271.439292,6,116,172.19.98.240,174.11.230.62,43144,22
1570290271.520061,6,180,174.11.230.62,172.19.98.240,22,43144
1570290271.554456,6,116,172.19.98.240,174.11.230.62,43144,22
