time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554114691.246482,6,377,105.197.202.28,192.168.1.149,443,38774
1554114691.539292,6,358,192.168.1.149,105.197.202.28,38774,443
1554114691.540013,6,211,192.168.1.149,105.197.202.28,38774,443
1554114691.860301,6,202,105.197.202.28,192.168.1.149,443,38774
1554114691.860387,6,214,105.197.202.28,192.168.1.149,443,38774
1554114691.860504,6,173,105.197.202.28,192.168.1.149,443,38774
1554114691.860619,6,224,105.197.202.28,192.168.1.149,443,38774
1554114691.860663,6,111,105.197.202.28,192.168.1.149,443,38774
1554114691.860687,6,46,105.197.202.28,192.168.1.149,443,38774
1554114691.861269,6,46,192.168.1.149,105.197.202.28,38774,443
1554114692.030761,6,353,192.168.1.149,105.197.202.28,38774,443
1554114692.031385,6,210,192.168.1.149,105.197.202.28,38774,443
1554114692.032684,6,377,105.197.202.28,192.168.1.149,443,38774
1554114692.268171,6,202,105.197.202.28,192.168.1.149,443,38774
1554114692.268453,6,217,105.197.202.28,192.168.1.149,443,38774
1554114692.269128,6,230,105.197.202.28,192.168.1.149,443,38774
1554114692.269172,6,184,105.197.202.28,192.168.1.149,443,38774
1554114692.269192,6,100,105.197.202.28,192.168.1.149,443,38774
1554114692.269208,6,46,105.197.202.28,192.168.1.149,443,38774
1554114692.269439,6,46,192.168.1.149,105.197.202.28,38774,443
1554114692.396567,6,468,192.168.1.149,105.197.202.28,38774,443
1554114692.396793,6,210,192.168.1.149,105.197.202.28,38774,443
1554114692.516315,6,377,105.197.202.28,192.168.1.149,443,38774
1554114692.624272,6,202,105.197.202.28,192.168.1.149,443,38774
1554114692.624844,6,215,105.197.202.28,192.168.1.149,443,38774
1554114692.627858,6,197,105.197.202.28,192.168.1.149,443,38774
1554114692.630716,6,253,105.197.202.28,192.168.1.149,443,38774
1554114692.722631,6,225,105.197.202.28,192.168.1.149,443,38774
1554114692.722691,6,46,105.197.202.28,192.168.1.149,443,38774
1554114692.722883,6,46,192.168.1.149,105.197.202.28,38774,443
1554114692.884281,6,377,105.197.202.28,192.168.1.149,443,38774
1554114692.92793,6,803,192.168.1.149,105.197.202.28,38774,443
1554114692.928155,6,211,192.168.1.149,105.197.202.28,38774,443
1554114693.294146,6,202,105.197.202.28,192.168.1.149,443,38774
1554114693.294207,6,214,105.197.202.28,192.168.1.149,443,38774
1554114693.294386,6,245,105.197.202.28,192.168.1.149,443,38774
1554114693.294503,6,129,105.197.202.28,192.168.1.149,443,38774
1554114693.29454,6,169,105.197.202.28,192.168.1.149,443,38774
1554114693.294562,6,46,105.197.202.28,192.168.1.149,443,38774
1554114693.294863,6,46,192.168.1.149,105.197.202.28,38774,443
1554114693.471913,17,41,192.168.1.149,192.168.1.1,47327,53
1554114693.475493,6,436,192.168.1.149,105.197.202.28,38774,443
1554114693.476244,6,338,192.168.1.149,105.197.202.28,38774,443
1554114693.479149,6,377,105.197.202.28,192.168.1.149,443,38774
1554114693.479428,17,317,192.168.1.1,192.168.1.149,53,47327
1554114693.805846,6,202,105.197.202.28,192.168.1.149,443,38774
1554114693.806072,6,215,105.197.202.28,192.168.1.149,443,38774
1554114693.806169,6,181,105.197.202.28,192.168.1.149,443,38774
